time,ax,ay,az,aT
7.0930,1.2217,1.4901,-7.7720,8.007
7.1140,0.3681,2.1387,-5.8980,6.285
7.1330,0.1110,1.5043,-4.0539,4.325
7.1520,-0.3432,1.0456,-2.7550,2.967
7.1710,-0.7664,1.0788,-1.3223,1.871
7.1910,-0.8705,0.6834,0.3840,1.171
7.2090,-0.5157,0.0773,2.3130,2.371
7.2300,-0.0404,-0.1435,3.9111,3.914
7.2490,0.1326,0.3733,4.1370,4.156
7.2680,0.2127,1.1721,4.1064,4.276
7.3070,0.4091,1.4491,4.5324,4.776
7.3080,0.8098,0.8059,4.4541,4.598
7.3260,1.4376,-0.0792,3.6565,3.930
7.3450,1.8955,-0.1565,2.8179,3.400
7.3700,2.5071,-0.1517,2.0764,3.259
7.4050,2.6604,-0.2721,0.8792,2.815
7.4050,2.0233,-0.2263,-0.9303,2.238
7.4220,1.3910,-0.5852,-2.3322,2.778
7.4430,1.7237,-1.8860,-2.2287,3.390
7.4620,2.2069,-3.5651,-2.0491,4.667
7.4810,2.0553,-3.9422,-3.1798,5.466
7.5010,1.5455,-2.1067,-4.6980,5.376
7.5210,0.4035,0.8142,-5.6382,5.711
7.5590,-0.3689,2.0745,-5.2726,5.678
7.5590,0.2901,1.9983,-3.7331,4.244
7.5780,1.0343,2.2404,-1.4041,2.839
7.5970,1.2394,2.9870,-0.7663,3.323
7.6170,0.6886,3.5786,-1.6105,3.984
7.6370,0.1879,3.7091,-1.5219,4.014
7.6570,-0.2309,2.7227,-1.0924,2.943
7.6930,-0.1068,1.4709,-0.7763,1.667
7.6950,-0.2122,1.4554,-0.3229,1.506
7.7130,-0.4505,1.6254,0.2184,1.701
7.7330,-0.3068,1.1165,0.6557,1.331
7.7550,0.1546,0.9126,1.2826,1.582
7.7720,-0.0104,1.1611,1.6706,2.034
7.7950,0.1755,0.9131,1.4435,1.717
7.8270,0.7277,0.9392,1.5249,1.933
7.8300,0.8861,1.5083,1.2126,2.128
7.8500,1.0420,2.0220,0.8733,2.437
7.8690,0.6629,2.9502,0.6581,3.095
7.8900,0.2473,2.8048,0.2458,2.826
7.9080,0.0361,2.7465,0.1517,2.751
7.9280,-0.1409,2.5999,-0.4766,2.647
7.9570,-0.0961,2.4295,-0.7095,2.533
7.9660,-0.4159,1.7728,-0.7889,1.984
